Type of property,Location,postal code,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,province
villa,morlanwelz,7140,10645902,€265000,Avenue Louise 367,4,E,406.0,0,0,100,2200,55,3,1996,To be done up,0,3,0,0,2,Installed,Fuel oil,Hainaut (West)
house,vielsalm,6690,10645901,€175000,Avenue Louise 367,7,E,381.0,0,0,0,1600,40,3,0,To be done up,0,0,0,1,0,0,0,Luxembourg (shared with Eastern Hainaut)
villa,gerpinnes,6280,10645900,€265000,Avenue Louise 367,3,D,313.0,0,0,0,400,50,3,0,As new,0,1,1,1,0,0,Fuel oil,Luxembourg (shared with Eastern Hainaut)
villa,waterloo,1410,10645898,€,Avenue Reine Astrid 215,4,E,419.0,0,0,36,638,48,4,1989,To be done up,0,2,1,0,2,Installed,Gas,Walloon Brabant
house,mouscron,7700,10645897,€,Rue Père Damien 3,3,F,448.0,0,0,0,430,28,3,1930,To renovate,0,1,0,0,1,Installed,Fuel oil,Hainaut (West)
house,luingne,7700,10645896,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hainaut (West)
house,kaprijke,9970,10645892,€467500,Ottergemsesteenweg Zuid 808,3,D,326.0,0,0,0,729,0,4,1966,0,0,1,0,0,0,0,0,East Flanders
house,basècles,7971,10645890,€210000,Chaussée Du Roeulx 302/B,3,C,182.0,0,0,35,295,10,2,0,Good,0,1,1,1,2,0,Gas,Hainaut (West)
house,niel,2845,10645889,€369000,Provinciale Steenweg 354,3,B,176.0,0,0,0,135,0,3,0,0,0,1,0,0,0,Hyper equipped,Gas,Antwerp
villa,mons,7021,10645887,€675000,Chaussée de Roeulx 1251/2b,4,D,338.0,0,0,60,1600,16,4,1990,As new,0,3,1,1,5,Hyper equipped,Gas,Hainaut (West)
exceptional-property,buggenhout,9255,10645885,€539000,Mechelsesteenweg 123 bus 1,3,F,626.0,0,1,0,5707,0,4,1982,To renovate,0,1,0,0,0,0,Electric,East Flanders
house,moerzeke,9220,10645884,€255000,Mechelsesteenweg 123 bus 1,3,D,323.0,0,1,0,266,0,3,0,Good,0,1,0,0,2,0,0,East Flanders
apartment,houthalen-helchteren,3530,10338936,€272500,Neerstraat 5,2,B,125.0,0,0,7,0,0,0,2002,Good,0,1,0,0,0,0,Gas,Limburg
apartment,watermael-boitsfort,1170,10645877,€320000,AVENUE BRUGMANN 16,1,D,167.0,0,0,0,0,36,2,1947,Just renovated,0,1,1,1,1,Hyper equipped,0,Brussels Capital Region
villa,braine-l'alleud,1420,10645876,€525000,Avenue du centenaire  53/4,3,B,132.0,0,0,20,601,33,4,1972,Good,0,1,0,1,2,Hyper equipped,Gas,Walloon Brabant
house,seneffe,1400,10645875,€,Avenue du centenaire  53/4,3,D,332.0,0,0,44,140,0,2,0,Good,0,1,0,0,2,Not installed,Fuel oil,Walloon Brabant
house,mellet,6211,10645873,€265000,Avenue du centenaire  53/4,3,G,522.0,0,0,29,700,29,4,1977,To be done up,0,1,0,1,1,0,Fuel oil,Luxembourg (shared with Eastern Hainaut)
house,tienen,3300,10645872,€215000,Dirk Boutslaan 4,3,D,308.0,0,0,14,76,31,2,1935,Good,0,1,0,0,1,Installed,Gas,Flemish Brabant
town-house,tienen,3300,10645871,€295000,Dirk Boutslaan 4,2,B,184.0,0,0,20,251,31,2,1977,Good,0,1,0,0,2,0,Gas,Flemish Brabant
apartment,bertem,3060,10645870,€395000,Dirk Boutslaan 4,2,A,94.92,0,1,0,0,0,3,2013,As new,0,1,0,0,1,Installed,Gas,Flemish Brabant
house,enghien,7850,10645867,€199000,Rue de Mons 63,2,E,393.0,0,1,0,0,0,3,0,To be done up,0,1,0,0,0,0,0,Hainaut (West)
apartment,enghien,7850,10645866,€199000,Rue de Mons 63,2,E,393.0,0,1,0,0,0,3,0,To be done up,0,1,0,0,0,0,0,Hainaut (West)
house,chastre,1450,10645864,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Walloon Brabant
villa,wavre,1300,10645863,€449000,Avenue Reine Astrid 65,3,D,292.0,0,1,0,654,30,4,1991,As new,0,1,1,0,2,Hyper equipped,Electric,Walloon Brabant
house,arendonk,2370,10645862,€279000,Vrijheid 8,5,D,333.0,0,0,0,288,35,2,1959,Good,0,1,0,0,1,Semi equipped,Gas,Antwerp
house,herselt,2230,10645861,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antwerp
house,aarschot,3200,10645860,€245000,Herseltsesteenweg 95,2,B,120.0,0,0,8,30,0,2,0,As new,0,1,0,0,1,Installed,Gas,Flemish Brabant
house,liedekerke,1770,10645859,€475000,Stationsstraat 120,3,B,164.0,0,1,0,650,29,2,1933,As new,0,2,0,0,0,Hyper equipped,Gas,Flemish Brabant
new-real-estate-project-houses,herzele,9550,10645855,€4.000).,Stationsstraat 120,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
