Type of property,Location,postal code,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,province
villa,horebeke,9667,10662857,€549000,Staatsbaan 110,4,C,239.0,0,0,30,2080,40,4,1991,Good,0,2,1,0,3,Installed,0,East Flanders
duplex,knokke,8300,10662855,€1250000,Driehoeksplein 1,3,B,125.0,0,0,22,0,0,2,1996,As new,0,3,0,0,2,0,0,West Flanders
apartment,knokke,8300,10662854,€1350000,Driehoeksplein 1,2,C,224.0,0,0,0,0,27,2,1967,0,0,2,0,0,0,0,Gas,West Flanders
apartment,knokke,8300,10662853,€45.000.,Driehoeksplein 1,3,B,158.0,0,0,12,0,0,2,1977,0,0,2,0,0,0,0,Gas,West Flanders
house,roeselare,8800,10662851,€289000,Harelbekestraat 50,4,NS,0.0,0,0,0,326,0,2,2022,0,0,0,0,0,2,0,0,West Flanders
duplex,bastogne,6600,10662849,€290000,Place McAuliffe 43,2,B,113.0,0,0,22,0,0,3,2014,0,0,0,1,0,2,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
apartment,peer,3990,10662848,€167800,"Genkersteenweg, 426",1,C,227.0,0,0,0,0,0,2,1998,Good,0,1,0,0,1,0,Gas,Limburg
apartment,saint-josse-ten-noode,1210,10662847,€330000,Avenue du Pesage 10,2,D,168.0,0,0,11,0,30,4,2010,As new,0,1,0,0,1,0,Gas,Brussels Capital Region
house,brugge,8000,10662845,€495000,Baron Ruzettelaan 411/01,4,B,199.0,0,0,0,70,28,0,0,As new,0,3,0,0,2,0,0,West Flanders
apartment,bastogne,6600,10662844,€290000,Place McAuliffe 43,2,B,113.0,0,0,22,0,0,3,2014,0,0,0,1,0,2,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
apartment,brugge,8000,10662843,€310000,Baron Ruzettelaan 411/01,3,B,172.0,0,0,0,0,30,2,0,As new,0,1,0,0,0,0,0,West Flanders
house,vaux-sur-sûre,6640,10662842,€350000,Place McAuliffe 43,4,E,371.0,0,0,0,5100,0,4,1977,To be done up,0,1,1,0,2,0,Electric,Luxembourg (shared with Eastern Hainaut)
mixed-use-building,ecaussinnes,7190,10662841,€179000,RUE ERNEST MARTEL 24,4,D,314.0,0,1,0,226,55,2,0,0,0,1,0,1,1,0,Gas,Hainaut (West)
house,châtelet,6200,10662835,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luxembourg (shared with Eastern Hainaut)
house,couillet,6010,10546068,€164900,Rue de gilly 81,4,NS,0.0,0,1,0,245,39,2,0,0,0,1,2,1,3,0,0,Luxembourg (shared with Eastern Hainaut)
apartment,blankenberge,8370,10662831,€189000,Franchommelaan 90,2,C,236.0,0,0,0,0,24,2,0,0,0,1,0,0,1,Installed,0,West Flanders
apartment,blankenberge,8370,10662830,€170000,Franchommelaan 90,1,C,259.0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,Gas,West Flanders
farmhouse,houthulst,8650,10662828,€480000,Noordlaan 51,3,F,1518.0,0,0,0,8533,0,4,1831,0,0,0,0,0,0,0,0,West Flanders
house,ichtegem,8480,10662827,€443000,Noordlaan 51,3,NS,0.0,0,0,0,401,0,3,2023,As new,0,1,0,0,2,Installed,0,West Flanders
apartment,sint-lambrechts-woluwe,1200,10662826,€,"Rue Camille Lemonnier , 68",2,NS,0.0,0,0,6,0,40,0,1950,Just renovated,0,0,1,0,1,Installed,Gas,Brussels Capital Region
house,staden,8840,10662823,€,Plaats 2,4,D,361.0,0,0,0,821,0,4,0,Good,0,1,0,0,0,0,Fuel oil,West Flanders
apartment,brasschaat,2930,10662822,€120,Bredabaan 260,2,B,193.0,0,1,0,0,0,2,2003,To be done up,0,1,0,0,0,0,0,Antwerp
house,kieldrecht,9130,10662812,€396000,Vesten 47,4,D,389.0,0,1,0,334,0,3,1952,Good,0,2,0,0,4,Semi equipped,Electric,East Flanders
house,nivelles,1400,10662809,€650000,Rue de Namur 93,7,C,208.0,0,0,16,370,46,2,0,As new,0,1,1,1,3,Hyper equipped,Fuel oil,Walloon Brabant
apartment,rebecq,1430,10662808,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Walloon Brabant
house,quaregnon,7390,10543590,€165000,"Rue de l'Eglise, 1",4,C,253.0,0,1,0,240,0,2,0,To be done up,0,1,0,0,0,0,Gas,Hainaut (West)
apartment,merksem,2170,10662805,€219000,Bischoppenhoflaan 284,2,B,108.0,0,0,11,0,40,2,1971,As new,0,1,0,0,1,0,0,Antwerp
bungalow,ronse,9600,10662803,€345000,"Guissetplein, 5",3,F,739.0,0,1,0,755,0,4,1973,Good,0,1,0,0,1,Installed,Gas,East Flanders
apartment,mortsel,2640,10662802,€149000,Antwerpsestraat 34,2,F,701.0,0,0,0,0,0,2,1950,To be done up,0,1,0,0,0,Semi equipped,Gas,Antwerp
villa,lasne,1380,10662801,€1690000,Chaussée de Bruxelles 168,7,D,268.0,0,0,60,4135,70,4,2000,Good,0,2,2,0,5,Not installed,Fuel oil,Walloon Brabant
house,bassevelde,9968,10662800,€326000,Gravenstraat 30A,2,D,356.0,0,0,25,482,0,4,1990,Good,0,1,0,0,2,Semi equipped,Fuel oil,East Flanders
apartment,morlanwelz-mariemont,7140,10662799,€180000,"Route de Mons, 313",2,C,211.0,0,1,0,0,0,0,2010,0,0,0,1,0,0,Installed,Electric,Hainaut (West)
house,athus,6791,10662798,€319000,"Rue de Hotton, 22",4,D,312.0,0,0,20,392,34,3,0,Good,0,1,0,0,2,Semi equipped,Fuel oil,Luxembourg (shared with Eastern Hainaut)
house,grand-halleux,6698,10662797,€279000,"Rue de Hotton, 22",2,F,439.0,0,0,15,1646,38,4,1918,Good,0,1,0,0,2,Semi equipped,Fuel oil,Luxembourg (shared with Eastern Hainaut)
villa,ruiselede,8755,10662779,€620000,Kortrijkstraat 58,5,D,383.0,0,0,0,1453,0,3,1966,To be done up,0,2,0,0,2,Semi equipped,Gas,West Flanders
apartment,lendelede,8860,10662777,€20.000,Kortrijkstraat 58,1,B,119.0,0,0,0,0,0,3,2017,0,0,1,1,0,1,Installed,Gas,West Flanders
apartment,deinze,9800,10662775,€229000,Kortrijkstraat 58,2,C,235.0,0,0,0,0,0,2,1978,0,0,1,0,0,1,Installed,Gas,East Flanders
house,ernage,5030,10662771,€),Chaussée de Huy 231,4,B,132.0,0,0,0,321,32,2,2010,0,0,1,1,0,3,Installed,Fuel oil,Namur
house,ernage,5030,10662770,€),Chaussée de Huy 231,4,B,103.0,0,0,0,408,43,2,2010,0,0,1,1,0,3,Installed,Fuel oil,Namur
house,ernage,5030,10662769,€),Chaussée de Huy 231,5,B,107.0,0,0,0,280,37,2,2010,0,0,1,1,0,3,Installed,Fuel oil,Namur
house,ernage,5030,10662768,€),Chaussée de Huy 231,4,B,116.0,0,0,0,284,33,2,2010,0,0,1,1,0,3,Installed,Fuel oil,Namur
house,mouscron,7700,10662767,€389000,Rue de Courtrai 28,4,B,163.0,0,0,0,603,30,4,2002,Just renovated,0,2,0,0,2,Not installed,Gas,Hainaut (West)
house,pironchamps,6240,10662766,€,Chaussée de Charleroi 226,2,G,545.0,0,0,0,1944,32,0,0,Good,0,1,0,0,1,Semi equipped,Gas,Luxembourg (shared with Eastern Hainaut)
house,berchem,2600,10662761,€549000,Lodewijk van Berckenlaan 167,3,B,195.0,0,0,20,320,41,3,2000,Good,0,0,0,1,2,Installed,Gas,Antwerp
apartment-block,spa,4900,10662759,€,Boulevard des Anglais 1,4,C,213.0,0,0,0,70,0,3,0,To renovate,0,1,2,0,3,0,Gas,Liège
house,varsenare,8490,10662757,€399000,Gistelsteenweg 88,4,F,747.0,0,0,0,0,0,4,0,To renovate,0,0,0,0,0,0,Fuel oil,West Flanders
flat-studio,middelkerke,8430,10662756,€125000,Zeedijk 127-128,0,B,171.0,1,0,0,0,0,0,1972,Good,0,1,0,0,1,Semi equipped,Electric,West Flanders
apartment,mont-de-l'enclus,7750,10662754,€388500,markt 9,2,NS,0.0,0,1,0,0,0,4,2021,Good,0,1,0,0,1,0,0,Hainaut (West)
apartment,burcht,2070,10662753,€443300,Bazelstraat 32,2,NS,0.0,0,0,35,0,0,3,2023,As new,0,1,0,0,1,Installed,0,Antwerp
apartment,burcht,2070,10662752,€/month.The,Bazelstraat 32,2,NS,0.0,0,0,23,0,0,3,2023,As new,0,1,0,0,1,Installed,0,Antwerp
apartment,burcht,2070,10662751,€501875,Bazelstraat 32,2,NS,0.0,0,0,26,0,0,3,2023,As new,0,1,0,0,1,Installed,0,Antwerp
apartment,burcht,2070,10662750,€464475,Bazelstraat 32,3,NS,0.0,0,0,19,0,0,3,2023,As new,0,1,0,0,1,Installed,0,Antwerp
apartment,gent,9000,10662745,€459000,Kouter 98,2,NS,0.0,0,0,12,0,0,2,2021,As new,0,1,0,0,1,Installed,0,East Flanders
apartment,roeselare,8800,10662741,€211700,Grote Markt 13,1,C,244.0,0,0,17,0,0,2,0,Good,0,1,0,0,1,Installed,0,West Flanders
house,de panne,8660,10662739,€290000,Zeelaan 176A,3,C,287.0,0,0,0,200,0,2,1936,Good,0,1,0,0,2,Installed,Electric,West Flanders
villa,waterloo,1410,10662727,€625000,Rue du Commerce 1,3,C,255.0,0,0,25,544,35,4,1954,0,0,1,1,1,2,Installed,Gas,Walloon Brabant
house,hannut,4280,10662722,€390000,Rue Albert Ier 105,4,D,309.0,0,0,47,1913,25,0,0,0,0,0,1,0,0,Installed,Fuel oil,Liège
house,sint-genesius-rode,1640,10662720,€750000,Volpestraat 18,5,B,142.0,0,0,0,824,0,4,2007,0,0,0,0,0,0,0,0,Flemish Brabant
house,alsemberg,1652,10662719,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
duplex,woluwe-saint-pierre,1150,10662716,€275000,Rue de Stalle 288C,2,D,153.0,0,0,20,0,0,0,1987,0,0,1,0,0,0,Installed,0,Brussels Capital Region
house,auderghem,1160,10662714,€1195000,Avenue Baron Albert d'Huart 130,4,G,484.0,0,0,20,725,18,3,1925,To renovate,0,2,2,0,2,Installed,Gas,Brussels Capital Region
house,wetteren,9230,10632208,€327000,Gemeenteplein 23B,3,B,136.0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,Gas,East Flanders
house,liernu,5310,10662709,€299000,Rue Monjoie 4,3,D,274.0,0,1,0,2466,0,4,1993,Good,0,1,0,0,2,Hyper equipped,Fuel oil,Namur
villa,kluisbergen,9690,10662708,€239000,Grote Markt 35,4,F,849.0,0,0,40,842,0,4,1967,To renovate,0,1,0,0,1,Semi equipped,Fuel oil,East Flanders
apartment,ronse,9600,10662706,€260000,Grote Markt 35,2,NS,0.0,0,1,0,0,0,2,0,0,0,1,0,0,2,Semi equipped,Gas,East Flanders
house,sint-niklaas,9100,10662703,€498000,Parklaan 59 bus1,4,C,209.0,0,0,35,100,50,2,1906,Good,0,1,0,0,0,Not installed,Gas,East Flanders
house,pÉruwelz,7600,10662696,€100000,"Chaussée de Bruxelles, 10",3,G,569.0,0,0,0,660,0,2,1900,To renovate,0,0,0,0,0,0,0,Hainaut (West)
house,braine-l'alleud,1420,10662693,€550000,Chaussée de Tervuren 149/3,5,B,129.0,0,0,82,413,50,3,1900,As new,0,2,0,0,3,USA hyper equipped,Gas,Walloon Brabant
villa,schilde,2970,10662683,€849000,Pater Nuyenslaan 39,3,F,822.0,0,0,0,2601,0,4,1975,To renovate,0,2,0,0,3,Installed,Gas,Antwerp
apartment,uccle,1180,10662681,€375000,Avenue du Pesage 10,2,B,82.0,0,0,16,0,40,4,1972,Good,0,2,0,0,2,0,Gas,Brussels Capital Region
apartment-block,namur,5000,10662679,€249000,Rue de l'Institut 35,4,E,411.0,0,0,0,342,0,0,0,To renovate,0,2,0,0,3,Not installed,Gas,Namur
new-real-estate-project-houses,waregem,8790,10662670,€325010,"Roterijstraat, 202",0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Flanders
bungalow,waregem,8790,10662667,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Flanders
house,ath,7800,10662666,€375000,Porte d'Ogy 78,3,NS,0.0,0,1,0,1634,0,0,0,To be done up,0,0,0,0,0,Semi equipped,Fuel oil,Hainaut (West)
house,hargimont,6900,10662665,€110000,Borchamps 24,3,D,333.0,0,0,19,523,0,3,0,To renovate,0,1,0,1,2,0,Pellet,Luxembourg (shared with Eastern Hainaut)
house,kapellen,2950,10662663,€359000,Britselei 42,3,B,161.0,0,0,0,0,50,2,0,Good,0,1,0,0,2,Installed,Gas,Antwerp
apartment-block,laeken,1020,10662656,€849000,Avenue de L'amarante 39,6,D,161.0,0,0,15,185,0,2,1937,Good,0,4,0,0,4,Installed,Gas,Brussels Capital Region
country-cottage,ciney,5590,10662648,€275000,Rue du Commerce 1,3,F,427.0,0,1,0,744,0,4,1850,To be done up,0,1,0,0,2,Semi equipped,Fuel oil,Namur
country-cottage,assesse,5330,10662647,€275000,Rue du Commerce 1,3,F,427.0,0,1,0,744,0,4,1850,To be done up,0,1,0,0,2,Semi equipped,Fuel oil,Namur
country-cottage,dorinne,5530,10662646,€275000,Rue du Commerce 1,3,F,427.0,0,1,0,744,0,4,1850,To be done up,0,1,0,0,2,Semi equipped,Fuel oil,Namur
house,dikkelvenne,9890,10662645,€159000,Stationsstraat 76,2,F,609.0,0,0,0,516,0,4,1930,To renovate,0,1,0,0,1,0,0,East Flanders
apartment,gent,9000,10662629,€495000,Kortrijksesteenweg 74,1,NS,0.0,0,0,14,0,41,0,0,Good,0,1,0,0,1,0,0,East Flanders
apartment-block,chapelle-lez-herlaimont,7160,10662617,€250000,rue de bomerée 134,3,F,507.0,0,1,0,0,0,3,0,0,0,0,3,1,3,Installed,Gas,Hainaut (West)
apartment,deinze,9800,10662614,€215000,Markt 32,1,A,77.34,0,0,10,0,23,0,0,As new,0,0,0,0,1,Hyper equipped,Gas,East Flanders
apartment-block,molenbeek-saint-jean,1080,10662611,€1000000,Avenue Louise 231,8,D,194.0,0,0,0,130,0,2,1931,Good,0,8,8,0,8,Installed,Gas,Brussels Capital Region
apartment,dilbeek,1700,10662604,€275000,Hollebeekstraat 163A,2,NS,0.0,0,0,6,0,39,4,1977,Good,0,1,0,0,1,Semi equipped,0,Flemish Brabant
apartment,ixelles,1050,10662600,€650/month,Av. Henri Conscience 74,1,D,193.0,0,0,0,0,0,0,0,Just renovated,0,1,0,0,1,0,Electric,Brussels Capital Region
new-real-estate-project-apartments,lille,2275,10662593,€345000,Grote Markt 10,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antwerp
apartment,lille,2275,10662592,€270000,Grote Markt 10,1,NS,0.0,0,0,15,0,0,0,2022,0,0,1,0,0,1,Installed,0,Antwerp
apartment,lille,2275,10662591,€345000,Grote Markt 10,2,NS,0.0,0,0,15,0,0,0,2022,0,0,1,0,0,1,Installed,0,Antwerp
house,herentals,2200,10662586,€259000,Grote Markt 10,3,F,717.0,0,1,0,274,0,3,1965,To be done up,0,1,0,0,2,Semi equipped,Fuel oil,Antwerp
apartment,herentals,2200,10662585,€259000,Grote Markt 10,2,A,74.0,0,0,0,0,32,2,1982,Good,0,1,1,0,1,Semi equipped,Gas,Antwerp
house,herentals,2200,10662584,€549000,Grote Markt 10,4,B,183.0,0,1,0,877,0,4,1993,As new,0,1,0,0,2,Hyper equipped,Gas,Antwerp
house,dessel,2480,10662583,€895000,Rondplein 14/2,4,B,162.0,0,1,0,1548,38,4,1962,As new,0,1,0,0,2,Installed,0,Antwerp
house,tielt,8700,10662579,€195000,Vredestraat 12,2,F,807.0,0,1,0,453,31,3,1988,To be done up,0,1,0,0,0,0,Electric,West Flanders
mansion,antwerp,2018,10662577,€625000,Van Peltstraat 2,3,A,87.0,0,1,0,0,0,2,0,As new,0,1,0,0,2,Hyper equipped,0,Antwerp
apartment,egio,251%2000,10662575,€70000,Rue de Wynants 9,1,NS,0.0,1,0,0,0,0,0,2005,As new,0,1,0,0,0,0,Fuel oil,
apartment,egio,251%2000,10662574,€100000,Rue de Wynants 9,1,NS,0.0,1,0,0,0,0,0,2007,As new,0,1,0,0,0,0,Electric,
apartment,athènes,11253,10662572,€160000,Rue de Wynants 9,3,NS,0.0,0,0,0,0,0,0,1974,As new,0,2,0,0,0,0,Fuel oil,
house,chalkoutsion,19015,10662571,€105000,Rue de Wynants 9,2,NS,0.0,0,0,0,250,0,0,1993,Good,0,1,0,0,0,0,0,
apartment,athènes,100%2000,10662570,€260000,Rue de Wynants 9,0,NS,0.0,0,0,0,0,0,0,2023,0,0,2,0,0,0,0,0,
apartment,merelbeke,9820,10662569,€295000,Noordstraat 17,2,D,371.0,0,0,2,0,50,3,1975,Good,0,1,1,1,1,Hyper equipped,0,East Flanders
house,olen,2440,10662566,€399000,Statiestraat 47,4,C,287.0,0,1,0,1087,40,0,0,Good,0,0,0,0,2,Installed,Gas,Antwerp
house,lede,9340,10662565,€515000,Steenweg op Aalst 96,4,A,31.0,0,0,20,350,26,3,0,As new,0,0,0,0,2,Hyper equipped,0,East Flanders
house,lede,9340,10662564,€515000,Steenweg op Aalst 96,4,A,30.0,0,1,0,350,38,3,0,As new,0,0,1,0,3,Hyper equipped,0,East Flanders
house,boezinge,8904,10662563,€249000,Rijselstraat 25,4,D,306.0,0,0,0,209,30,2,0,As new,0,0,0,0,2,Installed,Gas,West Flanders
duplex,morlanwelz,7140,10662561,€210000,Place du Marché 11,3,B,107.0,0,0,12,0,20,0,0,0,0,1,0,0,1,0,0,Hainaut (West)
house,lodelinsart,6042,10314264,€249000,Place du Marché 11,3,D,294.0,0,1,0,0,0,0,0,As new,0,1,1,1,3,0,Gas,Luxembourg (shared with Eastern Hainaut)
ground-floor,bruxelles,1000,10662558,€229000,Boulevard du Neuvième de Ligne 35,3,G,728.0,0,0,6,0,36,0,1933,To renovate,0,1,0,1,1,0,Gas,Brussels Capital Region
ground-floor,laeken,1020,10662557,€229000,Boulevard du Neuvième de Ligne 35,3,G,728.0,0,0,6,0,36,0,1933,To renovate,0,1,0,1,1,0,Gas,Brussels Capital Region
duplex,molenbeek-saint-jean,1080,10662556,€210000,Boulevard du Neuvième de Ligne 35,3,G,437.0,0,0,22,0,30,0,1931,Good,0,1,0,0,1,0,Gas,Brussels Capital Region
duplex,anderlecht,1070,10662555,€210000,Boulevard du Neuvième de Ligne 35,3,G,437.0,0,0,22,0,30,0,1931,Good,0,1,0,0,1,0,Gas,Brussels Capital Region
house,waregem,8790,10662545,€449000,Holstraat 86,3,C,257.0,0,0,0,665,0,4,1976,Good,0,1,0,0,0,0,Fuel oil,West Flanders
apartment,ixelles,1050,10662544,€145000,Av. Henri Conscience 74,1,G,981.0,0,0,0,0,0,0,0,Good,0,0,0,0,1,0,Gas,Brussels Capital Region
villa,merchtem,1785,10662543,€690000,Boulevard Theo Lambert 94,3,NS,0.0,0,0,0,551,29,4,1976,0,0,2,0,1,0,0,Gas,Flemish Brabant
duplex,bruxelles,1000,10662541,€249000,Avenue Louise 231,1,G,645.0,0,0,0,0,30,2,1931,Good,0,1,1,0,1,Hyper equipped,Gas,Brussels Capital Region
mixed-use-building,manage,7170,10662539,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hainaut (West)
manor-house,oostende,8400,10662537,€240000,Smedenstraat 21,2,D,347.0,0,1,0,67,0,0,0,Good,0,1,0,0,1,0,Electric,West Flanders
apartment,oostende,8400,10662538,€335000,Smedenstraat 21,4,D,345.0,0,1,0,0,0,0,0,Good,0,2,0,0,2,0,Gas,West Flanders
penthouse,brugge,8200,10662535,€595000,Smedenstraat 21,3,NS,0.0,0,0,0,0,48,0,0,Good,0,2,0,0,2,0,0,West Flanders
apartment,brugge,8310,10662533,€287500,Smedenstraat 21,2,C,236.0,0,1,0,0,0,0,0,Good,0,1,0,0,1,0,Gas,West Flanders
house,oostkamp,8020,10662534,€750,Smedenstraat 21,1,D,341.0,1,1,0,171,25,3,0,Just renovated,0,1,0,0,2,0,Gas,West Flanders
villa,aalter,9910,10662530,€499000,Smedenstraat 21,4,B,168.0,0,1,0,876,68,4,0,Good,0,1,1,0,2,0,Gas,East Flanders
house,anzegem,8570,10662527,€430000,Vichteplaats 13,4,F,691.0,0,1,0,3927,0,4,1966,Good,0,1,0,0,1,Installed,Fuel oil,West Flanders
house,edegem,2650,10662525,€625000,Sint Goriksplein 8/11,3,A,78.0,0,1,0,364,0,2,0,As new,0,0,0,0,2,Installed,0,Antwerp
apartment,jette,1090,10662524,€220000,av. de la Floride 77,2,G,694.0,0,0,5,0,25,2,1970,Good,0,1,1,0,1,USA installed,Gas,Brussels Capital Region
house,quaregnon,7390,10662523,€.,Rue Grande 74,3,E,393.0,0,1,0,935,0,4,0,Good,0,1,0,0,0,Installed,Fuel oil,Hainaut (West)
apartment,etterbeek,1040,10662522,€297000,Avenue Louise 523,2,E,266.0,0,1,0,0,0,3,1928,Good,0,1,0,0,1,0,Gas,Brussels Capital Region
villa,torhout,8820,10662520,€445000,Smedenstraat 21,3,D,345.0,1,1,0,2482,30,0,0,Good,0,1,1,0,2,0,Electric,West Flanders
service-flat,scherpenheuvel-zichem testelt,3272,10662516,€335412,"Bleekstraat, 19",2,A,30.0,0,0,16,0,0,4,2023,As new,0,1,0,0,0,0,0,Flemish Brabant
house,poperinge,8970,10662513,€248900,Izegemstraat 355,3,NS,0.0,0,1,0,178,0,2,0,0,0,0,0,0,0,0,0,West Flanders
house,torhout,8820,10577624,€235000,Izegemstraat 355,4,F,532.0,0,1,0,213,0,2,0,To renovate,0,0,0,0,0,0,Gas,West Flanders
house,oudenaarde,9700,10478749,€299000,Izegemstraat 355,4,E,447.0,0,1,0,200,0,2,0,Good,0,0,0,0,0,0,0,East Flanders
house,soignies,7060,10662505,€219000,RUE ERNEST MARTEL 24,4,C,250.0,0,0,40,120,22,2,0,0,0,1,0,0,2,0,Gas,Hainaut (West)
apartment,xhendremael,4432,10662485,€,Borchamps 24,6,D,304.0,0,0,48,0,39,2,0,Good,0,3,0,0,3,0,Electric,Liège
house,braine-l'alleud ophain-bois-seigneur-isaac,1421,10662482,€595000,122 RUE DE MONT-ST-PONT,5,C,255.0,0,0,25,366,18,3,1930,Just renovated,0,2,1,0,3,Hyper equipped,Gas,Walloon Brabant
house,lede,9340,10662476,€565000,Graanmarkt 10,4,NS,0.0,0,1,0,503,34,3,2020,As new,0,2,0,1,2,0,0,East Flanders
house,saint-nicolas,4420,10662474,€,Rue de l'Yser 30,5,G,594.0,0,0,0,140,27,2,0,To renovate,0,0,2,0,2,Semi equipped,Gas,Liège
house,anthisnes,4160,10662472,€250000,Rue Pierre Henvard 2,2,G,582.0,0,0,0,582,25,3,0,Just renovated,0,1,0,0,0,Semi equipped,Fuel oil,Liège
mixed-use-building,bruxelles,1020,10662471,€495000,Rue Prince Baudouin 67/15,0,G,950.0,0,0,23,68,0,2,0,Good,0,3,7,0,7,Semi equipped,Gas,Brussels Capital Region
castle,durbuy,6940,10662470,€2100000,Markt 37,7,G,552.0,0,1,0,4200,0,4,1875,To be done up,0,5,4,0,7,Installed,Fuel oil,Luxembourg (shared with Eastern Hainaut)
loft,woluwe-saint-pierre,1150,10662467,€650000,"Oppemlaan, 32",2,E,225.0,0,1,0,0,62,4,1989,Good,0,1,0,0,1,0,Gas,Brussels Capital Region
house,bellegem,8510,10662465,€215000,Dorpsplein 11/1,3,E,438.0,0,0,0,122,15,2,1918,Good,0,1,0,1,2,0,Gas,West Flanders
town-house,liège,4000,10662464,€300000,Rue des Ragayets 32,2,E,365.0,0,1,0,121,16,2,1936,Good,0,1,1,1,2,Not installed,Gas,Liège
house,oostende,8400,10662462,€350000,Heusdendorp 7,4,C,270.0,0,1,0,273,34,2,1985,As new,0,1,1,0,2,Hyper equipped,Gas,West Flanders
apartment,berchem-sainte-agathe,1082,10662460,€259000,Avenue Van Overbeke 134,2,E,223.0,0,0,5,0,55,2,1930,As new,0,1,0,0,1,USA hyper equipped,Gas,Brussels Capital Region
house,oudenaarde,9700,10662452,€300000,markt 9,4,B,123.0,0,0,8,131,0,2,1997,Good,0,1,0,0,1,Installed,Gas,East Flanders
apartment,brugge,8000,10662440,€375000,Kouter 98,2,B,161.0,0,1,0,0,0,2,2005,Good,0,1,0,0,1,Installed,Gas,West Flanders
house,poperinge,8970,10662436,€238000,Peperstraat 38,3,F,505.0,0,1,0,180,0,2,1937,Good,0,1,0,0,1,Installed,Gas,West Flanders
penthouse,roeselare,8800,10662432,€650000,Grote Markt 13,2,B,131.0,0,0,108,0,0,4,2020,Good,0,2,0,0,2,Hyper equipped,Gas,West Flanders
apartment,ressaix,7134,10662431,€120000,Route de Mons 379A,1,B,118.0,0,0,3,0,17,2,0,0,0,1,0,0,1,Installed,0,Hainaut (West)
apartment,middelkerke,8430,10662426,€379000,Leopoldlaan 1,2,C,219.0,0,0,7,0,0,2,1957,As new,0,1,0,0,0,Installed,Gas,West Flanders
house,sint-michiels,8200,10662423,€499000,Vlamingstraat 62,5,B,181.0,0,1,0,600,0,4,1984,Good,0,2,0,0,3,Installed,Gas,West Flanders
house,berendrecht,2040,10662421,€319900,Hoevensebaan 25,3,C,261.0,0,1,0,275,0,2,1970,Good,0,0,0,0,2,0,Gas,Antwerp
apartment,oostende,8400,10662419,€349000,Groentemarkt 1,1,E,415.0,0,0,0,0,0,0,0,Good,0,1,0,0,1,0,Fuel oil,West Flanders
apartment,strombeek-bever,1853,10610694,€239000,Verbeytstraat 1/1,2,C,214.0,0,0,0,0,0,2,1969,To be done up,0,1,0,0,1,Installed,Gas,Flemish Brabant
apartment,strombeek-bever,1853,10662418,€279000,Verbeytstraat 1/1,2,B,115.0,0,1,0,0,0,4,1973,Good,0,1,0,0,1,Installed,Gas,Flemish Brabant
apartment,de panne,8660,10662417,€215000,Kapellelaan 9 - Esplanade,1,C,270.0,0,0,19,0,0,0,1960,Good,0,1,0,0,1,0,Gas,West Flanders
duplex,gooik,1755,10662412,€295000,Minderbroedersstraat 8,3,B,165.0,0,1,0,0,0,0,2010,Good,0,1,0,0,1,0,Gas,Flemish Brabant
flat-studio,liège,4020,10662407,€114000,Rue Simon 46/2,0,D,319.0,0,0,0,0,0,2,0,Good,0,1,0,0,1,0,Gas,Liège
villa,jabbeke,8490,10662404,€849000,Smedenstraat 21,4,E,411.0,0,1,0,2064,38,0,0,Good,0,2,0,0,2,0,0,West Flanders
apartment,st-josse-ten-noode,1210,10662402,€200/month,"Avenue des Petits Champs, 63",1,NS,0.0,0,0,0,0,0,0,0,Good,0,0,0,0,0,0,0,Brussels Capital Region
house,forest,1190,10662400,€1100000,Place Brugmann 10B,5,E,231.0,0,0,14,340,29,2,1931,Good,0,3,7,1,3,Installed,Gas,Brussels Capital Region
villa,morlanwelz carnières,7141,10662398,€349900,rue de Pont-à-Celles 10,3,E,401.0,0,0,120,872,40,4,1991,Good,0,1,1,1,2,Installed,Gas,Hainaut (West)
apartment,vilvoorde,1800,10662395,€299000,"Prinsenstraat, 24",2,B,101.0,0,0,0,0,32,2,2013,Good,0,1,0,0,0,Hyper equipped,Gas,Flemish Brabant
house,thiaumont,6717,10662393,€899000,Rue Reine Astrid 26,7,B,98.0,0,0,30,660,46,3,1900,As new,0,3,0,0,0,Hyper equipped,Fuel oil,Luxembourg (shared with Eastern Hainaut)
apartment-block,fontaine-l'ÉvÊque,6140,10662391,€,Rue de France 37,8,C,230.0,0,0,0,1371,0,0,0,Good,0,3,0,0,3,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
